,cal_burned,steps,distance,floors,mins_sedentary,mins_light_activity,mins_fair_activity,mins_very_active,activity_cals,mins_total_activity
2018-09-20,3517.0,9920.0,4.68,8.0,844.0,156.0,10.0,56.0,1565.0,222.0
2018-09-21,3105.0,8185.0,3.86,9.0,797.0,163.0,6.0,26.0,1172.0,195.0
2018-09-22,5199.0,16219.0,7.65,10.0,581.0,319.0,78.0,98.0,3596.0,495.0
2018-09-23,2787.0,5807.0,2.74,12.0,773.0,46.0,7.0,46.0,745.0,99.0
2018-09-24,2771.0,4500.0,2.12,7.0,841.0,167.0,0.0,0.0,822.0,167.0
2018-09-25,2820.0,5219.0,2.46,6.0,767.0,142.0,2.0,11.0,853.0,155.0
2018-09-26,3613.0,10466.0,4.94,9.0,707.0,163.0,3.0,63.0,1677.0,229.0
2018-09-27,3348.0,9751.0,4.6,7.0,849.0,167.0,10.0,42.0,1427.0,219.0
2018-09-28,2970.0,4531.0,2.14,4.0,775.0,235.0,0.0,0.0,1068.0,235.0
2018-09-29,3043.0,7043.0,3.32,5.0,788.0,218.0,4.0,5.0,1220.0,227.0
2018-09-30,4184.0,15991.0,7.54,9.0,652.0,254.0,45.0,72.0,2504.0,371.0
2018-10-01,3180.0,8307.0,3.92,8.0,813.0,201.0,5.0,24.0,1330.0,230.0
2018-10-02,3162.0,8702.0,4.1,9.0,872.0,141.0,11.0,34.0,1205.0,186.0
2018-10-03,3584.0,10729.0,5.06,6.0,773.0,186.0,7.0,69.0,1715.0,262.0
2018-10-04,3713.0,13511.0,6.37,7.0,772.0,152.0,15.0,95.0,1895.0,262.0
2018-10-05,3603.0,11029.0,5.2,105.0,822.0,167.0,7.0,71.0,1684.0,245.0
2018-10-06,3246.0,8140.0,3.84,6.0,750.0,218.0,20.0,6.0,1343.0,244.0
2018-10-07,4799.0,20396.0,9.62,30.0,402.0,329.0,76.0,100.0,3344.0,505.0
2018-10-08,3299.0,9111.0,4.3,6.0,648.0,210.0,25.0,20.0,1513.0,255.0
2018-10-09,3046.0,8076.0,3.81,7.0,900.0,130.0,15.0,35.0,1127.0,180.0
2018-10-10,3183.0,8996.0,4.24,128.0,683.0,151.0,18.0,48.0,1330.0,217.0
2018-10-11,4194.0,16811.0,8.24,18.0,683.0,216.0,7.0,90.0,2398.0,313.0
2018-10-12,3427.0,10203.0,4.81,7.0,674.0,259.0,20.0,11.0,1630.0,290.0
2018-10-13,3464.0,9661.0,4.56,14.0,655.0,275.0,40.0,16.0,1714.0,331.0
2018-10-14,3903.0,14896.0,7.03,8.0,625.0,256.0,15.0,74.0,2219.0,345.0
2018-10-15,2956.0,5982.0,2.82,12.0,915.0,206.0,0.0,0.0,1057.0,206.0
2018-10-16,3432.0,11061.0,5.22,162.0,819.0,229.0,8.0,55.0,1630.0,292.0
2018-10-17,3268.0,10426.0,4.92,10.0,737.0,170.0,3.0,45.0,1401.0,218.0
2018-10-18,3323.0,9719.0,4.58,2.0,674.0,255.0,3.0,18.0,1520.0,276.0
2018-10-19,3706.0,13701.0,6.46,14.0,718.0,114.0,21.0,93.0,1815.0,228.0
2018-10-20,3788.0,16251.0,7.66,16.0,610.0,224.0,54.0,57.0,2102.0,335.0
2018-10-21,3991.0,16642.0,7.85,15.0,437.0,349.0,33.0,58.0,2485.0,440.0
2018-10-22,3149.0,8328.0,3.93,7.0,747.0,172.0,4.0,28.0,1239.0,204.0
2018-10-23,3739.0,16918.0,7.98,8.0,674.0,127.0,16.0,115.0,1924.0,258.0
2018-10-24,3075.0,7829.0,3.69,32.0,711.0,141.0,15.0,24.0,1108.0,180.0
2018-10-25,3379.0,11073.0,5.22,15.0,596.0,275.0,18.0,15.0,1669.0,308.0
2018-10-26,3549.0,11788.0,5.56,10.0,834.0,200.0,4.0,62.0,1756.0,266.0
2018-10-27,3915.0,14059.0,6.63,18.0,644.0,209.0,28.0,83.0,2181.0,320.0
2018-10-28,4450.0,19956.0,9.41,9.0,632.0,239.0,52.0,112.0,2834.0,403.0
2018-10-29,3566.0,12544.0,5.92,8.0,665.0,192.0,8.0,66.0,1774.0,266.0
2018-10-30,3572.0,14794.0,6.98,14.0,771.0,170.0,8.0,93.0,1817.0,271.0
2018-10-31,4147.0,16992.0,8.01,3.0,604.0,212.0,34.0,85.0,2418.0,331.0
2018-11-01,3448.0,15134.0,7.14,11.0,698.0,164.0,12.0,80.0,1689.0,256.0
2018-11-02,4126.0,15924.0,7.51,27.0,487.0,213.0,23.0,93.0,2361.0,329.0
2018-11-03,4174.0,15388.0,7.26,5.0,662.0,265.0,19.0,85.0,2466.0,369.0
2018-11-04,4578.0,21302.0,10.05,11.0,561.0,256.0,62.0,99.0,2907.0,417.0
2018-11-05,3710.0,13441.0,6.36,8.0,666.0,168.0,14.0,85.0,1918.0,267.0
2018-11-06,3801.0,14300.0,6.74,16.0,659.0,176.0,7.0,88.0,1939.0,271.0
2018-11-07,3681.0,13664.0,6.46,9.0,566.0,172.0,4.0,82.0,1882.0,258.0
2018-11-08,4137.0,15542.0,7.33,26.0,716.0,238.0,15.0,86.0,2436.0,339.0
2018-11-09,4445.0,16732.0,7.99,14.0,698.0,126.0,31.0,131.0,2671.0,288.0
2018-11-10,3863.0,13636.0,7.04,16.0,589.0,219.0,3.0,77.0,2115.0,299.0
2018-11-11,4264.0,17761.0,8.36,129.0,486.0,299.0,47.0,76.0,2717.0,422.0
2018-11-12,3444.0,10184.0,4.82,19.0,651.0,244.0,14.0,40.0,1705.0,298.0
2018-11-13,3202.0,10330.0,4.87,16.0,615.0,199.0,10.0,26.0,1376.0,235.0
2018-11-14,3081.0,7598.0,3.58,15.0,835.0,214.0,8.0,12.0,1250.0,234.0
2018-11-15,3815.0,12360.0,5.9,10.0,644.0,203.0,7.0,69.0,2082.0,279.0
2018-11-16,3780.0,12286.0,5.73,13.0,576.0,281.0,31.0,42.0,2114.0,354.0
2018-11-17,4548.0,20395.0,10.06,31.0,464.0,347.0,54.0,90.0,3077.0,491.0
2018-11-18,4832.0,25512.0,12.0,23.0,450.0,269.0,53.0,154.0,3373.0,476.0
2018-11-19,3697.0,11993.0,5.56,17.0,502.0,255.0,34.0,43.0,2062.0,332.0
2018-11-20,3966.0,15527.0,7.27,13.0,810.0,196.0,11.0,96.0,2260.0,303.0
2018-11-21,3738.0,11079.0,5.16,4.0,582.0,328.0,9.0,33.0,2101.0,370.0
2018-11-22,4494.0,16705.0,7.84,177.0,522.0,284.0,18.0,115.0,2868.0,417.0
2018-11-23,3325.0,9602.0,4.53,16.0,660.0,269.0,23.0,12.0,1619.0,304.0
2018-11-24,4098.0,17004.0,9.2,23.0,532.0,217.0,13.0,100.0,2428.0,330.0
2018-11-25,3005.0,6921.0,3.26,11.0,614.0,281.0,3.0,6.0,1306.0,290.0
2018-11-26,3364.0,10563.0,5.64,20.0,587.0,210.0,10.0,42.0,1605.0,262.0
2018-11-27,3726.0,13420.0,6.29,7.0,650.0,196.0,12.0,78.0,2027.0,286.0
2018-11-28,3088.0,7602.0,3.59,16.0,717.0,272.0,0.0,0.0,1361.0,272.0
2018-11-29,3693.0,12380.0,6.56,18.0,717.0,258.0,15.0,53.0,2051.0,326.0
2018-11-30,3269.0,9559.0,4.51,14.0,699.0,288.0,12.0,6.0,1577.0,306.0
2018-12-01,3813.0,14510.0,7.27,7.0,527.0,233.0,22.0,67.0,2124.0,322.0
2018-12-02,3957.0,13257.0,6.23,195.0,725.0,265.0,13.0,70.0,2305.0,348.0
2018-12-03,3660.0,12915.0,6.12,6.0,782.0,219.0,40.0,51.0,1993.0,310.0
2018-12-04,3384.0,13763.0,6.49,13.0,608.0,199.0,11.0,67.0,1663.0,277.0
2018-12-05,3670.0,13865.0,6.52,12.0,739.0,200.0,12.0,69.0,1968.0,281.0
2018-12-06,3669.0,14774.0,6.96,9.0,647.0,198.0,4.0,78.0,1962.0,280.0
2018-12-07,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-08,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-09,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-10,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-11,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-12,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-13,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-14,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-15,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-16,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-17,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-18,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-19,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
2018-12-20,3407.8888888888887,13381.3,6.438000000000006,0.0,630.3333333333334,239.3,14.92,33.87111111111111,1484.5466666666666,319.6333333333333
